GP,MIN,FGM,FG%,3P Made,3P%,FTA,FT%,OREB,REB,AST,STL,BLK,TOV,target_5yrs,EFF_RATING,AST_TO_RATIO,REB_PER_MIN
17,8.5,0.6,0.5,1.0,0.435,1.1,0.636,0.0,6.1,5.4,1.2,1.2,4.1,0,0.5882,1.3168,0.7176
38,13.0,1.9,0.442,2.7,0.26,7.4,0.757,3.5,10.5,9.9,0.8,2.6,3.0,1,0.55,3.2989,0.8076
24,37.6,1.8,0.419,1.8,0.286,3.6,0.722,1.2,4.4,7.9,0.7,1.0,1.3,0,0.5625,6.0723,0.117
69,9.7,6.2,0.449,0.3,0.3,6.0,0.75,3.8,7.4,9.9,2.4,0.8,4.5,1,0.3,2.1995,0.7628
70,21.5,2.4,0.545,1.3,0.295,7.1,0.718,1.3,4.9,9.7,1.9,2.2,0.4,0,0.2671,24.1895,0.2279
11,25.4,4.6,0.387,2.3,0.418,2.0,0.75,2.6,9.6,4.9,1.7,1.1,1.2,1,1.8364,4.0799,0.3779
16,28.2,5.6,0.554,2.4,0.414,7.0,0.886,0.3,1.1,7.0,0.7,2.5,3.8,1,0.7687,1.8416,0.039
73,23.5,3.3,0.388,1.5,0.294,6.6,0.652,1.0,4.2,1.1,2.8,1.0,3.6,1,0.089,0.3055,0.1787
59,5.3,5.3,0.371,2.7,0.409,4.0,0.75,3.1,8.8,4.4,0.6,2.1,1.6,1,0.3153,2.7483,1.6601
70,15.8,2.9,0.446,0.8,0.348,1.8,0.722,2.1,7.2,8.1,2.4,0.1,0.5,0,0.2814,16.1677,0.4557
80,22.1,5.2,0.43,1.2,0.279,7.7,0.857,3.7,7.6,5.1,2.9,1.2,4.3,1,0.2075,1.1858,0.3439
3,7.9,0.7,0.437,2.7,0.281,5.8,0.914,1.7,6.4,7.0,2.2,1.0,1.7,0,5.0333,4.1152,0.81
20,16.6,5.1,0.455,2.7,0.346,1.8,0.833,3.5,5.9,7.5,3.0,2.5,1.1,1,1.13,6.812,0.3554
59,6.1,2.9,0.372,2.1,0.28,3.5,0.686,1.8,6.0,2.5,2.0,2.9,2.7,0,0.2119,0.9256,0.9834
36,7.6,2.5,0.373,2.6,0.271,6.6,0.864,3.9,8.4,8.8,0.7,1.4,4.6,1,0.4528,1.9126,1.1051
19,18.1,3.2,0.471,0.3,0.3,7.6,0.645,3.8,6.4,4.6,0.6,2.5,0.4,0,0.7474,11.4713,0.3536
67,9.4,4.2,0.416,2.6,0.406,6.5,0.831,1.3,3.9,2.1,1.0,2.1,3.9,1,0.1239,0.5383,0.4148
19,23.7,0.1,0.333,1.0,0.4,3.7,0.838,3.5,10.9,8.7,0.0,2.9,2.9,0,1.0053,2.999,0.4599
20,27.8,1.0,0.357,0.5,0.385,6.0,0.833,3.4,9.0,5.3,2.0,2.4,2.2,0,0.825,2.408,0.3237
71,31.4,4.7,0.431,0.7,0.437,3.0,0.9,0.8,1.6,7.5,0.8,0.2,3.8,0,0.1507,1.9732,0.051
52,11.6,3.5,0.443,1.3,0.394,2.2,0.682,2.5,8.6,5.5,2.4,2.1,4.8,1,0.3192,1.1456,0.7413
33,10.5,6.1,0.48,0.8,0.421,6.8,0.647,0.3,1.2,3.8,1.1,1.6,1.3,1,0.3061,2.9208,0.1143
40,8.5,4.5,0.363,1.0,0.345,9.6,0.708,3.3,11.5,5.3,1.4,0.0,0.9,1,0.475,5.8824,1.3528
39,26.0,6.9,0.515,0.4,0.267,2.6,0.846,0.7,7.8,5.8,2.9,0.8,4.6,0,0.4923,1.2606,0.3
1,28.3,4.4,0.419,0.9,0.45,4.0,0.8,0.3,3.3,3.9,0.7,2.8,3.4,0,10.9,1.1467,0.1166
11,6.0,1.6,0.485,1.7,0.293,6.3,0.746,1.6,6.4,1.1,2.2,2.8,2.3,0,0.9273,0.4781,1.0665
57,35.9,0.6,0.5,1.3,0.295,6.0,0.633,2.3,5.7,9.0,2.3,2.4,3.0,0,0.2596,2.999,0.1588
50,6.7,5.3,0.453,1.0,0.455,7.2,0.819,3.4,6.9,0.4,0.7,2.9,3.8,1,0.222,0.1052,1.0297
23,22.9,4.4,0.358,2.2,0.259,7.8,0.679,3.9,7.5,8.6,1.5,2.4,3.9,1,0.7826,2.2046,0.3275
31,28.4,0.3,0.5,2.7,0.318,0.5,0.8,1.8,5.2,3.6,1.1,0.0,4.6,0,0.1774,0.7824,0.1831
42,33.7,1.9,0.422,2.3,0.365,8.7,0.805,0.2,5.7,6.4,2.3,0.9,2.2,0,0.3167,2.9078,0.1691
7,28.6,6.8,0.531,1.0,0.286,7.0,0.757,3.0,5.0,9.2,1.9,0.1,1.6,0,2.8143,5.7464,0.1748
16,31.5,3.1,0.508,2.2,0.4,6.8,0.882,2.3,9.3,1.5,1.4,0.3,3.3,0,0.7188,0.4544,0.2952
60,16.2,2.8,0.444,0.5,0.294,6.9,0.667,1.8,8.5,5.7,2.3,0.7,2.2,0,0.2583,2.5897,0.5247
2,31.9,2.4,0.436,0.4,0.5,7.3,0.822,1.2,5.3,7.6,0.7,1.5,3.1,1,6.55,2.4508,0.1661
1,7.6,1.6,0.485,1.0,0.27,1.2,0.667,2.0,9.1,7.6,2.3,2.5,2.2,0,20.5,3.453,1.1972
48,34.5,2.6,0.473,2.4,0.343,2.7,0.889,1.4,3.8,5.3,2.6,2.6,0.9,1,0.3271,5.8824,0.1101
12,23.1,2.1,0.525,0.7,0.304,9.6,0.635,3.0,3.9,6.2,2.6,1.8,2.5,0,0.8833,2.479,0.1688
69,32.0,0.5,0.455,0.2,0.4,1.7,0.824,2.2,7.5,7.6,2.4,2.8,3.5,0,0.2464,2.1708,0.2344
37,19.9,4.6,0.362,0.4,0.308,0.8,0.625,3.5,7.7,8.4,1.2,1.5,4.0,1,0.5162,2.0995,0.3869
32,26.2,2.6,0.366,2.6,0.283,8.3,0.663,2.2,7.1,7.6,2.9,2.7,2.6,1,0.5469,2.922,0.271
9,22.4,5.3,0.469,1.9,0.339,9.2,0.63,1.0,8.7,3.5,1.1,1.4,1.0,1,1.7333,3.4965,0.3884
19,29.1,5.3,0.421,0.8,0.308,1.5,0.733,3.4,11.6,10.0,1.9,0.8,2.2,0,1.4211,4.5434,0.3986
48,7.7,1.3,0.371,1.7,0.34,8.8,0.682,2.2,7.6,4.3,0.5,2.7,4.0,1,0.2,1.0747,0.9869
80,7.0,4.6,0.554,1.6,0.262,6.2,0.774,0.8,7.2,0.2,2.9,1.2,2.2,1,0.1562,0.0909,1.0284
3,13.2,2.8,0.384,2.0,0.333,4.3,0.837,2.5,3.9,3.6,2.1,1.5,3.5,0,3.2333,1.0283,0.2954
20,10.3,4.7,0.364,0.7,0.269,7.7,0.753,1.4,3.1,1.3,2.3,1.0,2.6,1,0.395,0.4998,0.3009
24,33.8,1.2,0.522,2.6,0.277,3.4,0.853,3.4,9.6,1.2,0.2,2.0,1.4,0,0.5125,0.8565,0.284
54,12.2,4.8,0.511,0.9,0.36,2.2,0.636,1.8,5.6,2.8,2.3,3.0,4.0,0,0.2537,0.6998,0.459
33,37.2,4.3,0.361,2.1,0.404,2.3,0.87,2.9,7.2,0.5,2.3,0.1,0.6,1,0.4091,0.8319,0.1935
24,16.1,2.0,0.426,0.0,0.0,4.9,0.714,0.4,3.6,6.9,2.0,2.7,2.7,0,0.5458,2.5546,0.2236
75,11.0,1.0,0.556,1.1,0.275,5.2,0.712,1.6,7.0,0.7,0.9,0.0,1.2,0,0.092,0.5828,0.6363
72,31.1,4.1,0.488,1.1,0.407,7.7,0.727,3.9,6.1,2.0,1.5,1.1,0.5,1,0.1694,3.992,0.1961
36,26.7,4.2,0.447,1.6,0.327,7.9,0.696,3.2,8.9,0.9,0.3,0.5,2.6,1,0.2722,0.346,0.3333
38,21.4,2.4,0.4,0.2,0.286,4.7,0.872,0.6,2.9,0.6,1.4,2.3,2.6,0,0.1684,0.2307,0.1355
25,23.3,4.8,0.393,2.4,0.369,7.6,0.724,1.1,2.6,2.7,0.7,0.2,3.6,0,0.212,0.7498,0.1116
18,28.7,2.6,0.356,0.7,0.304,1.6,0.812,1.3,4.4,5.7,1.0,1.7,3.8,0,0.6278,1.4996,0.1533
66,12.5,4.0,0.476,2.0,0.4,0.6,0.667,2.6,4.9,5.3,0.5,0.9,3.7,1,0.1773,1.432,0.392
54,37.9,1.5,0.429,2.4,0.453,9.0,0.678,3.0,10.5,8.8,0.7,0.4,2.2,1,0.3111,3.9982,0.277
35,37.2,5.1,0.429,1.7,0.279,0.8,0.625,3.0,4.2,8.8,0.2,2.3,3.2,1,0.4886,2.7491,0.1129
80,26.5,2.0,0.455,2.2,0.458,1.9,0.895,2.0,3.8,1.8,2.8,0.7,3.0,1,0.0987,0.5998,0.1434
61,11.6,2.0,0.513,2.0,0.392,6.1,0.803,3.2,7.8,2.6,1.6,0.7,2.2,0,0.1852,1.1813,0.6724
41,27.4,0.4,0.364,1.1,0.268,3.5,0.829,1.7,6.2,0.8,1.2,0.8,3.1,0,0.139,0.258,0.2263
33,7.4,0.8,0.381,2.4,0.369,6.7,0.91,0.5,1.7,7.8,1.6,1.8,4.7,0,0.2545,1.6592,0.2297
68,6.0,3.5,0.438,0.9,0.25,2.6,0.808,2.3,3.1,0.7,1.9,2.0,1.1,1,0.1412,0.6358,0.5166
33,13.5,1.7,0.415,1.7,0.254,0.1,1.0,3.8,12.1,5.6,2.8,0.1,4.5,0,0.5394,1.2442,0.8962
14,20.3,5.6,0.491,2.2,0.393,2.6,0.808,3.2,8.9,2.5,0.5,0.7,0.5,1,1.2286,4.99,0.4384
21,33.7,0.2,0.4,1.1,0.478,5.4,0.741,2.3,5.9,2.4,0.9,1.3,1.7,0,0.3619,1.4109,0.1751
48,29.0,2.1,0.404,0.9,0.29,4.0,0.65,2.6,6.8,9.9,2.9,1.0,1.6,0,0.4104,6.1836,0.2345
20,29.5,2.0,0.435,1.4,0.341,5.4,0.685,3.7,6.3,7.6,1.1,2.7,3.2,0,0.74,2.3743,0.2136
8,19.0,0.2,0.333,2.5,0.455,7.9,0.772,1.7,5.0,8.4,0.1,2.4,0.8,0,1.6875,10.4869,0.2631
7,16.4,0.9,0.409,2.8,0.292,8.2,0.78,1.3,6.9,5.7,0.4,1.9,4.4,0,1.3714,1.2952,0.4207
67,17.2,2.9,0.46,1.6,0.485,2.5,0.76,3.9,11.3,8.7,0.1,1.0,4.2,1,0.2866,2.0709,0.6569
17,37.6,2.7,0.391,2.0,0.267,3.8,0.842,3.5,5.5,6.5,3.0,2.1,3.3,0,0.9353,1.9691,0.1463
33,6.3,2.6,0.51,2.7,0.443,5.4,0.704,1.3,8.6,9.5,0.8,2.5,2.4,1,0.6061,3.9567,1.3649
48,33.6,3.0,0.455,0.3,0.429,8.5,0.776,1.9,3.4,5.3,2.8,1.8,4.7,0,0.2021,1.1274,0.1012
76,24.1,4.0,0.465,0.7,0.437,10.7,0.654,1.7,3.9,6.0,3.0,2.4,4.2,0,0.15,1.4282,0.1618
59,19.5,0.2,0.5,2.1,0.256,2.4,0.667,0.6,1.7,6.9,1.8,2.2,2.6,1,0.1593,2.6528,0.0872
22,28.9,2.4,0.387,2.5,0.294,7.2,0.708,3.8,5.7,3.9,0.1,1.7,3.6,0,0.3682,1.083,0.1972
30,21.1,6.7,0.438,2.6,0.277,3.3,0.788,1.6,9.2,5.3,0.2,0.9,2.9,1,0.6233,1.827,0.436
38,33.8,2.6,0.388,1.2,0.353,0.1,1.0,3.5,7.8,9.8,1.4,2.2,3.0,1,0.5474,3.2656,0.2308
51,34.7,3.4,0.42,0.3,0.375,0.1,1.0,0.8,2.2,4.9,1.2,0.6,1.8,1,0.2059,2.7207,0.0634
54,18.9,1.7,0.472,1.3,0.406,4.3,0.744,2.2,6.4,3.9,1.8,2.3,2.4,0,0.2333,1.6243,0.3386
8,14.1,4.4,0.383,0.7,0.333,4.1,0.829,0.1,7.6,4.7,1.3,2.4,0.6,1,2.3875,7.8203,0.539
27,24.5,4.5,0.489,0.9,0.321,0.2,1.0,3.1,9.3,8.5,2.8,2.5,1.9,1,0.9519,4.4713,0.3796
27,35.1,2.8,0.491,2.3,0.307,5.7,0.842,2.3,10.1,6.5,1.6,1.4,3.5,0,0.6667,1.8566,0.2877
21,12.0,6.4,0.435,0.2,0.4,3.1,0.677,2.5,5.1,0.4,2.1,0.6,4.8,1,0.419,0.0833,0.425
30,25.6,0.9,0.474,2.5,0.258,4.7,0.83,0.2,6.4,5.4,2.7,0.3,4.8,0,0.3367,1.1248,0.25
28,25.8,0.2,0.5,1.3,0.433,2.9,0.724,0.8,6.7,0.2,0.4,2.2,2.9,0,0.2143,0.0689,0.2597
64,29.2,4.8,0.407,1.8,0.254,1.6,0.75,0.3,7.8,7.8,0.7,2.7,3.1,1,0.3172,2.5153,0.2671
69,9.3,5.0,0.431,0.3,0.5,4.0,0.725,1.2,7.9,3.3,0.3,2.0,1.1,0,0.2362,2.9973,0.8494
61,28.6,0.9,0.45,1.0,0.333,2.5,0.64,2.5,5.8,4.7,0.4,0.4,3.5,1,0.1279,1.3425,0.2028
48,35.0,1.6,0.364,0.3,0.375,5.7,0.649,2.3,9.1,8.0,1.5,2.8,0.5,1,0.4271,15.9681,0.26
19,10.9,0.2,0.4,2.9,0.345,1.9,0.737,2.4,5.0,0.5,1.0,3.0,1.6,0,0.4,0.3123,0.4587
4,12.8,2.1,0.375,2.4,0.32,4.0,0.9,2.2,5.2,1.6,1.3,1.3,3.4,0,1.925,0.4704,0.4062
35,37.1,4.0,0.513,1.4,0.35,1.4,0.786,1.1,2.8,4.0,2.9,1.8,1.7,1,0.3857,2.3516,0.0755
64,11.0,2.9,0.42,0.7,0.35,6.6,0.712,1.0,8.9,2.3,0.5,2.3,0.4,1,0.2281,5.7357,0.809
49,33.2,1.9,0.373,2.8,0.289,7.3,0.726,0.5,3.4,3.4,1.6,2.2,4.2,0,0.1286,0.8093,0.1024
17,21.2,2.2,0.423,1.0,0.294,1.1,0.727,3.4,8.1,10.0,0.3,2.9,1.7,0,1.2647,5.8789,0.3821
44,13.2,0.1,0.333,0.5,0.278,3.9,0.846,2.5,6.3,8.3,1.0,0.3,0.5,0,0.3386,16.5669,0.4772
30,33.7,2.3,0.46,1.7,0.405,0.7,0.714,0.7,8.8,8.8,1.6,1.7,0.6,0,0.7467,14.6423,0.2611
46,19.7,3.5,0.53,2.8,0.311,5.0,0.84,0.7,3.8,9.4,2.8,2.1,1.4,1,0.4217,6.7095,0.1929
6,22.0,7.2,0.442,0.0,0.0,2.8,0.679,3.5,9.8,3.4,1.2,2.7,1.1,1,3.7167,3.0881,0.4454
37,16.9,4.4,0.454,0.7,0.368,4.7,0.787,3.0,10.1,3.0,0.2,2.6,3.9,1,0.4162,0.769,0.5976
24,24.6,0.2,0.4,2.8,0.337,5.2,0.692,2.6,6.8,2.3,1.2,2.9,1.7,0,0.4208,1.3521,0.2764
46,10.4,5.9,0.488,0.5,0.385,7.3,0.89,1.6,5.3,8.3,0.4,1.5,4.1,1,0.3587,2.0239,0.5096
53,17.9,5.3,0.361,0.3,0.429,5.0,0.76,1.0,7.6,6.8,0.7,2.5,1.0,1,0.3906,6.7932,0.4246
60,37.0,4.2,0.362,1.7,0.415,6.0,0.683,3.9,11.6,2.4,1.9,1.3,2.6,1,0.2817,0.9227,0.3135
63,13.5,3.1,0.492,2.6,0.456,3.4,0.824,3.2,9.7,3.8,0.2,1.3,3.5,0,0.2222,1.0854,0.7185
32,26.7,2.1,0.467,1.4,0.298,9.9,0.667,1.2,3.6,5.1,1.4,0.8,3.3,0,0.2,1.545,0.1348
33,15.7,2.2,0.373,3.0,0.3,7.6,0.711,3.4,11.0,5.3,1.8,2.5,3.1,0,0.5303,1.7091,0.7006
67,30.5,0.6,0.353,2.0,0.256,2.8,0.714,3.0,6.8,8.9,1.3,3.0,4.6,0,0.2269,1.9344,0.2229
18,9.3,1.2,0.444,0.2,0.286,7.5,0.787,1.2,6.3,3.8,0.1,0.8,1.3,1,0.5167,2.9208,0.6773
25,37.0,1.5,0.469,3.0,0.476,4.0,0.75,1.7,8.4,9.1,3.0,0.2,2.6,0,0.744,3.4987,0.227
54,20.0,2.6,0.433,1.2,0.267,8.1,0.716,0.7,3.1,4.4,1.1,2.4,4.4,1,0.1278,0.9998,0.155
58,12.8,4.8,0.403,0.9,0.265,7.8,0.744,0.4,7.0,7.5,2.3,1.9,0.6,1,0.3603,12.4792,0.5468
67,7.4,2.7,0.482,1.7,0.347,1.9,0.684,2.9,8.1,9.3,1.0,2.9,0.5,0,0.3418,18.5629,1.0944
46,10.6,0.4,0.4,0.9,0.31,6.5,0.754,1.1,8.6,9.1,1.4,0.8,1.3,0,0.3783,6.9946,0.8112
24,22.2,5.5,0.539,0.3,0.25,2.4,0.833,3.3,5.4,0.6,1.2,0.2,3.2,0,0.3875,0.1874,0.2432
32,16.1,5.3,0.541,0.0,0.0,2.5,0.84,4.0,7.8,2.1,1.0,1.5,1.4,1,0.4969,1.4989,0.4844
47,32.4,4.6,0.455,1.3,0.26,2.3,0.913,0.3,7.4,4.8,0.1,0.3,1.1,1,0.3383,4.3597,0.2284
23,19.2,6.1,0.466,2.5,0.463,6.4,0.797,1.9,2.6,4.3,1.1,0.8,2.4,1,0.487,1.7909,0.1354
66,13.2,3.6,0.474,1.7,0.425,2.4,0.667,3.2,6.4,6.4,2.7,0.4,3.1,0,0.2364,2.0639,0.4848
27,25.4,5.2,0.437,3.0,0.349,0.0,0.0,3.2,11.3,9.4,2.1,0.7,1.4,1,1.0111,6.7095,0.4449
2,28.3,0.6,0.462,0.9,0.31,6.0,0.833,3.0,6.0,1.1,0.4,0.3,1.6,0,2.9,0.6871,0.212
17,10.5,2.1,0.5,0.8,0.276,1.9,0.632,1.4,9.7,4.5,1.8,2.9,3.1,1,1.0118,1.4511,0.9237
33,10.5,1.6,0.471,0.5,0.25,0.9,0.778,1.8,4.1,1.9,2.7,0.8,4.7,1,0.1879,0.4042,0.3904
9,6.2,1.2,0.364,0.5,0.357,2.6,0.654,2.4,6.1,8.9,2.1,1.3,3.4,0,1.7,2.6169,0.9837
43,29.3,0.9,0.45,0.9,0.474,3.9,0.692,3.9,10.1,9.6,0.4,2.7,4.0,1,0.4302,2.3994,0.3447
48,26.9,4.3,0.443,2.4,0.279,4.8,0.688,1.3,6.7,4.8,2.6,2.0,2.0,0,0.3521,2.3988,0.2491
39,20.7,5.7,0.422,2.7,0.31,0.3,1.0,3.7,8.9,1.0,0.9,1.9,1.5,1,0.4333,0.6662,0.4299
42,32.9,4.1,0.36,2.9,0.414,8.2,0.829,1.1,5.7,7.9,1.4,2.1,2.4,0,0.4143,3.2903,0.1732
26,31.6,0.9,0.5,0.7,0.333,5.5,0.909,4.0,11.2,7.0,1.6,2.5,4.1,0,0.7154,1.7069,0.3544
50,24.3,4.3,0.402,2.6,0.286,3.4,0.676,2.7,5.3,3.5,2.6,2.6,2.4,1,0.296,1.4577,0.2181
25,33.7,4.7,0.398,1.0,0.286,2.8,0.786,1.9,6.2,8.9,2.8,1.9,4.3,1,0.784,2.0693,0.184
24,11.8,2.2,0.415,0.3,0.333,4.6,0.674,2.5,4.3,9.8,2.8,2.7,4.9,1,0.6417,1.9996,0.3644
13,8.7,4.4,0.53,2.6,0.382,5.6,0.786,1.1,6.3,5.6,0.0,1.6,0.5,0,1.2462,11.1776,0.7241
60,13.9,1.7,0.405,1.9,0.253,1.5,0.667,1.1,3.8,5.7,2.8,0.8,0.4,1,0.2317,14.2145,0.2734
7,6.9,1.8,0.529,0.5,0.294,1.5,0.867,0.5,3.6,3.0,0.2,2.6,0.9,0,1.4429,3.3296,0.5217
57,22.5,5.9,0.418,1.3,0.351,7.1,0.845,0.5,4.8,5.8,0.8,1.6,2.0,1,0.2772,2.8986,0.2133
36,35.9,1.8,0.391,0.9,0.391,2.3,0.783,1.4,2.3,4.4,1.5,2.7,0.8,0,0.3167,5.4931,0.0641
45,6.3,3.6,0.5,2.2,0.289,3.5,0.771,3.1,4.5,3.0,1.4,0.1,4.4,1,0.1644,0.6817,0.7142
20,9.0,6.4,0.379,1.4,0.4,7.8,0.782,2.4,8.2,0.7,1.8,1.2,0.3,1,0.815,2.3256,0.911
65,19.9,4.7,0.547,3.0,0.429,6.8,0.676,0.4,4.1,2.5,1.4,2.8,1.7,1,0.1785,1.4697,0.206
8,35.8,0.6,0.375,0.2,0.333,2.8,0.857,3.4,10.7,2.0,2.8,0.7,1.1,0,1.9125,1.8165,0.2989
16,15.4,0.9,0.45,1.1,0.393,6.1,0.787,2.4,8.3,5.4,0.7,2.8,4.7,1,0.7563,1.1487,0.5389
14,21.7,0.1,0.5,1.4,0.304,0.2,0.5,3.8,4.4,6.0,0.8,2.9,3.4,0,0.7643,1.7642,0.2028
76,6.4,3.7,0.514,1.5,0.441,5.8,0.879,2.7,8.0,6.1,2.8,2.6,4.6,1,0.2355,1.3258,1.2498
15,9.9,3.1,0.365,0.9,0.3,5.3,0.642,0.7,2.0,3.9,0.2,1.7,4.9,1,0.2733,0.7958,0.202
66,37.6,1.0,0.526,2.2,0.393,9.1,0.626,1.9,8.5,4.2,1.8,1.9,2.6,0,0.1727,1.6148,0.2261
32,36.8,5.4,0.5,2.6,0.5,7.7,0.87,2.6,10.6,8.3,2.0,2.6,1.3,1,0.8312,6.3797,0.288
63,5.2,2.7,0.466,2.8,0.444,8.1,0.802,0.1,4.9,4.8,1.5,2.3,1.1,0,0.2143,4.3597,0.9421
51,36.4,1.9,0.413,2.4,0.258,8.2,0.78,0.1,6.0,9.9,2.1,1.9,1.3,0,0.3667,7.6095,0.1648
25,26.1,2.6,0.426,2.6,0.268,5.4,0.667,0.5,3.1,4.4,0.5,2.9,3.6,1,0.324,1.2219,0.1188
58,33.6,4.0,0.519,1.7,0.405,3.5,0.714,1.0,5.2,6.5,2.6,2.1,0.4,0,0.3276,16.2095,0.1548
63,20.0,0.5,0.5,2.5,0.281,4.7,0.702,1.7,8.8,0.5,0.4,2.9,0.4,0,0.1794,1.2469,0.44
62,22.0,1.7,0.486,0.9,0.31,7.1,0.676,1.9,4.0,6.5,1.2,0.2,3.1,1,0.1323,2.0961,0.1818
22,21.1,5.9,0.496,1.2,0.255,7.2,0.861,0.6,3.5,8.5,0.2,0.4,3.3,1,0.6455,2.575,0.1659
58,27.0,3.4,0.453,1.0,0.37,2.1,0.667,2.7,6.7,9.4,1.6,1.4,3.4,0,0.3172,2.7639,0.2481
58,9.6,3.2,0.4,1.4,0.298,9.3,0.688,2.4,8.6,10.0,2.0,1.2,2.0,1,0.3466,4.9975,0.8957
49,6.0,2.8,0.5,0.9,0.474,7.9,0.722,1.2,4.7,2.8,2.8,2.3,4.1,0,0.1857,0.6828,0.7832
52,15.2,0.3,0.429,2.9,0.358,10.7,0.645,0.1,7.8,5.8,2.2,0.5,2.8,0,0.1923,2.0707,0.5131
42,28.3,1.1,0.458,0.9,0.257,9.0,0.689,0.3,6.4,4.5,1.6,2.9,0.7,1,0.3095,6.4194,0.2261
70,11.7,3.2,0.36,0.3,0.333,2.4,0.833,1.6,5.0,5.6,2.8,0.9,4.0,0,0.1871,1.3997,0.4273
15,27.2,1.2,0.364,1.6,0.39,0.9,0.778,0.6,6.6,1.6,1.4,1.3,4.8,0,0.4733,0.3333,0.2426
54,37.0,0.4,0.4,0.2,0.5,1.1,0.727,1.5,3.8,8.6,1.7,0.8,0.5,0,0.2685,17.1657,0.1027
60,8.1,5.0,0.49,0.3,0.3,2.3,0.87,2.5,8.1,9.1,1.8,1.7,2.1,1,0.3883,4.3313,0.9999
8,27.2,5.4,0.535,0.7,0.304,6.8,0.632,2.2,4.0,4.5,1.2,0.2,2.5,0,1.2875,1.7993,0.1471
53,19.6,4.1,0.471,1.4,0.368,6.5,0.862,0.9,2.1,2.8,2.5,0.4,0.9,1,0.1906,3.1077,0.1071
60,33.6,4.6,0.484,1.3,0.255,9.1,0.692,1.4,3.2,1.4,0.6,2.2,4.4,0,0.08,0.3181,0.0952
5,10.8,1.4,0.437,2.4,0.49,6.0,0.733,2.5,10.4,6.8,1.7,0.6,1.6,0,3.54,4.2473,0.9629
68,27.9,5.4,0.388,2.2,0.386,0.0,0.0,3.4,8.2,3.1,2.2,0.7,4.0,1,0.2294,0.7748,0.2939
6,32.7,1.1,0.379,1.3,0.26,2.0,0.65,3.0,10.0,9.1,2.7,2.4,3.4,0,3.5333,2.6757,0.3058
47,36.2,6.2,0.378,1.0,0.385,1.1,0.636,2.2,5.5,6.7,2.7,0.3,3.1,1,0.3809,2.1606,0.1519
55,27.5,7.4,0.462,0.9,0.391,3.4,0.735,1.4,6.5,6.5,1.5,1.3,1.1,1,0.3855,5.9037,0.2364
40,21.4,4.7,0.402,2.3,0.324,4.3,0.814,1.5,6.1,5.6,1.9,0.1,1.3,1,0.4075,4.3044,0.285
52,25.4,6.6,0.475,0.2,0.286,0.3,1.0,3.5,11.5,0.5,1.2,1.0,0.4,1,0.3923,1.2469,0.4527
16,33.7,3.2,0.533,0.0,0.0,3.1,0.774,0.2,6.7,9.3,1.4,2.1,1.4,1,1.2875,6.6381,0.1988
13,23.8,1.6,0.4,2.4,0.258,1.6,0.812,4.0,10.1,6.3,2.7,0.3,1.9,1,1.4462,3.314,0.4244
30,6.0,2.6,0.553,1.4,0.28,6.1,0.738,2.7,3.7,9.9,2.8,2.7,4.2,0,0.53,2.3566,0.6166
19,35.7,4.5,0.455,0.4,0.444,5.1,0.627,2.7,7.7,5.4,2.7,2.7,2.0,1,1.0053,2.6987,0.2157
17,27.8,0.5,0.455,0.7,0.292,4.9,0.714,0.2,4.5,7.1,0.4,0.3,3.8,1,0.4471,1.8679,0.1619
63,27.3,4.1,0.402,2.8,0.359,4.6,0.652,2.4,6.4,0.6,2.6,3.0,2.3,1,0.2032,0.2608,0.2344
19,12.1,5.5,0.39,2.6,0.356,9.6,0.698,1.9,4.6,6.3,2.8,0.9,4.0,0,0.6947,1.5746,0.3801
58,26.7,1.2,0.48,2.1,0.28,2.0,0.75,0.4,3.3,7.6,1.1,0.3,4.9,0,0.1397,1.5507,0.1236
55,18.0,5.1,0.383,1.4,0.255,5.5,0.655,1.1,4.8,7.8,1.6,0.0,1.4,0,0.2909,5.5675,0.2667
62,26.5,6.4,0.478,1.6,0.444,6.9,0.754,3.6,6.2,7.7,2.3,1.2,4.3,1,0.2871,1.7903,0.234
23,8.5,6.8,0.444,2.9,0.354,6.0,0.65,2.2,3.8,2.3,1.7,1.9,3.2,1,0.487,0.7185,0.447
9,26.7,5.1,0.395,2.9,0.337,8.1,0.802,1.7,8.9,9.8,3.0,1.0,4.1,1,2.4556,2.3897,0.3333
12,38.0,2.7,0.403,0.6,0.353,3.0,0.867,0.3,5.4,10.0,1.4,2.5,3.3,1,1.525,3.0294,0.1421
1,6.6,5.5,0.359,2.4,0.369,4.9,0.653,2.9,9.9,0.8,2.1,2.1,2.2,1,16.5,0.3635,1.4998
58,37.2,5.4,0.495,0.6,0.462,0.8,0.75,2.8,9.8,9.4,2.4,1.1,1.3,1,0.4586,7.2252,0.2634
1,18.4,1.1,0.407,0.6,0.3,6.6,0.652,2.5,5.3,2.9,1.5,2.2,0.5,0,10.2,5.7884,0.288
34,33.7,2.7,0.415,2.0,0.351,3.1,0.645,2.0,6.4,6.9,2.6,2.8,2.8,1,0.5147,2.4634,0.1899
48,30.8,3.9,0.368,1.2,0.414,1.2,0.917,1.7,3.0,3.4,1.6,0.3,5.0,0,0.1479,0.6799,0.0974
1,23.7,1.8,0.514,2.8,0.275,5.1,0.745,2.4,9.9,9.7,1.2,0.9,3.7,1,18.5,2.6209,0.4177
16,29.4,4.8,0.393,0.3,0.273,4.8,0.771,0.9,4.6,1.0,0.3,1.4,1.8,1,0.575,0.5552,0.1565
